start_node,rep,day_idx,variant,reward,valid,delta_vs_baseline
27,1,8,vc=1.0,3841.0,True,106.0
27,2,17,baseline,4151.0,True,0.0
27,2,17,vc=0.25,4151.0,True,0.0
27,2,17,vc=0.5,4343.0,True,192.0
27,2,17,vc=1.0,4898.0,True,747.0
28,0,27,baseline,4946.0,True,0.0
28,0,27,vc=0.25,4946.0,True,0.0
28,0,27,vc=0.5,4946.0,True,0.0
28,0,27,vc=1.0,4707.0,True,-239.0
28,1,8,baseline,4527.0,True,0.0
28,1,8,vc=0.25,4527.0,True,0.0
28,1,8,vc=0.5,4527.0,True,0.0
28,1,8,vc=1.0,4396.0,True,-131.0
28,2,6,baseline,4276.0,True,0.0
28,2,6,vc=0.25,4276.0,True,0.0
28,2,6,vc=0.5,4445.0,True,169.0
28,2,6,vc=1.0,4504.0,True,228.0
29,0,1,baseline,2755.0,True,0.0
29,0,1,vc=0.25,2752.0,True,-3.0
29,0,1,vc=0.5,2752.0,True,-3.0
29,0,1,vc=1.0,2796.0,True,41.0
29,1,23,baseline,3731.0,True,0.0
29,1,23,vc=0.25,3731.0,True,0.0
29,1,23,vc=0.5,3731.0,True,0.0
29,1,23,vc=1.0,3951.0,True,220.0
29,2,7,baseline,3382.0,True,0.0
29,2,7,vc=0.25,3356.0,True,-26.0
29,2,7,vc=0.5,3332.0,True,-50.0
29,2,7,vc=1.0,3332.0,True,-50.0
30,0,8,baseline,4114.0,True,0.0
30,0,8,vc=0.25,4334.0,True,220.0
30,0,8,vc=0.5,3886.0,True,-228.0
30,0,8,vc=1.0,3886.0,True,-228.0
30,1,27,baseline,4847.0,True,0.0
30,1,27,vc=0.25,4847.0,True,0.0
30,1,27,vc=0.5,4847.0,True,0.0
30,1,27,vc=1.0,5257.0,True,410.0
30,2,23,baseline,4971.0,True,0.0
30,2,23,vc=0.25,4971.0,True,0.0
30,2,23,vc=0.5,4507.0,True,-464.0
30,2,23,vc=1.0,4380.0,True,-591.0
31,0,18,baseline,4957.0,True,0.0
31,0,18,vc=0.25,5396.0,True,439.0
31,0,18,vc=0.5,6177.0,True,1220.0
31,0,18,vc=1.0,6177.0,True,1220.0
31,1,16,baseline,4618.0,True,0.0
31,1,16,vc=0.25,4618.0,True,0.0
