start_node,rep,strategy,reward,ls_exact_reward,gap_pct,valid,rollout_time
20,0,beam20,5335.0,5335.0,0.0,True,0.3038473129272461
20,0,sample128,5335.0,5335.0,0.0,True,0.033081769943237305
20,0,sample256,5335.0,5335.0,0.0,True,0.04876875877380371
20,1,greedy_beam1,343.0,977.0,64.89252814738997,True,0.022773265838623047
20,1,beam10,977.0,977.0,0.0,True,0.17850732803344727
20,1,beam20,977.0,977.0,0.0,True,0.27922701835632324
20,1,sample128,748.0,977.0,23.439099283520985,True,0.03357076644897461
20,1,sample256,748.0,977.0,23.439099283520985,True,0.04910778999328613
20,2,greedy_beam1,21.0,3651.0,99.42481511914544,True,0.011358976364135742
20,2,beam10,3651.0,3651.0,0.0,True,0.17176556587219238
20,2,beam20,3651.0,3651.0,0.0,True,0.27869462966918945
20,2,sample128,3651.0,3651.0,0.0,True,0.03299069404602051
20,2,sample256,3651.0,3651.0,0.0,True,0.04861950874328613
21,0,greedy_beam1,2932.0,2932.0,0.0,True,0.017134428024291992
21,0,beam10,2932.0,2932.0,0.0,True,0.16857481002807617
21,0,beam20,2932.0,2932.0,0.0,True,0.25673890113830566
21,0,sample128,2932.0,2932.0,0.0,True,0.03300642967224121
21,0,sample256,2932.0,2932.0,0.0,True,0.050652503967285156
21,1,greedy_beam1,720.0,720.0,0.0,True,0.012455463409423828
21,1,beam10,720.0,720.0,0.0,True,0.16956615447998047
21,1,beam20,720.0,720.0,0.0,True,0.28988099098205566
21,1,sample128,720.0,720.0,0.0,True,0.032973289489746094
21,1,sample256,720.0,720.0,0.0,True,0.04862403869628906
21,2,greedy_beam1,252.0,555.0,54.59459459459459,True,0.0113525390625
21,2,beam10,555.0,555.0,0.0,True,0.17713642120361328
21,2,beam20,555.0,555.0,0.0,True,0.29036712646484375
21,2,sample128,252.0,555.0,54.59459459459459,True,0.026005029678344727
21,2,sample256,252.0,555.0,54.59459459459459,True,0.03752851486206055
22,0,greedy_beam1,1529.0,3132.0,51.181353767560665,True,0.027291536331176758
22,0,beam10,3132.0,3132.0,0.0,True,0.1742229461669922
22,0,beam20,3132.0,3132.0,0.0,True,0.3359518051147461
22,0,sample128,3093.0,3132.0,1.2452107279693485,True,0.0407414436340332
22,0,sample256,3093.0,3132.0,1.2452107279693485,True,0.06052064895629883
22,1,greedy_beam1,2901.0,3287.0,11.743230909644051,True,0.015774011611938477
22,1,beam10,3287.0,3287.0,0.0,True,0.1245412826538086
22,1,beam20,3287.0,3287.0,0.0,True,0.26294422149658203
22,1,sample128,2901.0,3287.0,11.743230909644051,True,0.02572178840637207
22,1,sample256,2901.0,3287.0,11.743230909644051,True,0.0369875431060791
22,2,greedy_beam1,5529.0,5529.0,0.0,True,0.022767305374145508
22,2,beam10,5529.0,5529.0,0.0,True,0.1724870204925537
22,2,beam20,5529.0,5529.0,0.0,True,0.3072495460510254
22,2,sample128,5529.0,5529.0,0.0,True,0.033443450927734375
22,2,sample256,5529.0,5529.0,0.0,True,0.0487828254699707
23,0,greedy_beam1,2549.0,5794.0,56.00621332412841,True,0.01761031150817871
23,0,beam10,4915.0,5794.0,15.17086641353124,True,0.2049245834350586
23,0,beam20,4915.0,5794.0,15.17086641353124,True,0.3679947853088379
23,0,sample128,4361.0,5794.0,24.732481877804627,True,0.04867744445800781
23,0,sample256,4495.0,5794.0,22.419744563341386,True,0.07246136665344238
23,1,greedy_beam1,5416.0,6289.0,13.881380187629194,True,0.032898902893066406
23,1,beam10,5723.0,6289.0,8.999840992208618,True,0.23438739776611328
23,1,beam20,5839.0,6289.0,7.155350612179996,True,0.4178166389465332
23,1,sample128,4740.0,6289.0,24.630306885037367,True,0.04082155227661133
23,1,sample256,4740.0,6289.0,24.630306885037367,True,0.06048440933227539
23,2,greedy_beam1,3444.0,5772.0,40.33264033264034,True,0.02864241600036621
23,2,beam10,4445.0,5772.0,22.99029799029799,True,0.16194653511047363
23,2,beam20,4445.0,5772.0,22.99029799029799,True,0.30190086364746094
23,2,sample128,5123.0,5772.0,11.243936243936243,True,0.04872465133666992
23,2,sample256,5123.0,5772.0,11.243936243936243,True,0.06124544143676758
24,0,greedy_beam1,1396.0,5681.0,75.4268614680514,True,0.01261591911315918
24,0,beam10,4936.0,5681.0,13.113888399929591,True,0.1578998565673828
24,0,beam20,5339.0,5681.0,6.0200668896321075,True,0.303464412689209
24,0,sample128,4118.0,5681.0,27.51276183770463,True,0.03341817855834961
24,0,sample256,4203.0,5681.0,26.016546382679106,True,0.06035017967224121
24,1,greedy_beam1,5203.0,5203.0,0.0,True,0.03271031379699707
24,1,beam10,4621.0,5203.0,11.185854314818373,True,0.18921208381652832
24,1,beam20,4621.0,5203.0,11.185854314818373,True,0.3507499694824219
24,1,sample128,5203.0,5203.0,0.0,True,0.0491185188293457
24,1,sample256,5043.0,5203.0,3.075148952527388,True,0.07241082191467285
24,2,greedy_beam1,1893.0,5406.0,64.98335183129855,True,0.011471748352050781
24,2,beam10,5406.0,5406.0,0.0,True,0.15929865837097168
